	compound	media	negative	neutral	positive	tweets ago
307	-0.5707	@fox	0.61	0.39	0.0	8
308	0.5267	@fox	0.066	0.708	0.226	9
309	-0.2862	@fox	0.153	0.745	0.102	10
310	0.6486	@fox	0.0	0.762	0.238	11
311	0.0	@fox	0.0	1.0	0.0	12
312	0.8122	@fox	0.0	0.682	0.318	13
313	0.0	@fox	0.0	1.0	0.0	14
314	0.4754	@fox	0.116	0.655	0.229	15
315	0.0772	@fox	0.195	0.642	0.163	16
316	0.6369	@fox	0.0	0.826	0.174	17
317	0.0	@fox	0.0	1.0	0.0	18
318	0.0	@fox	0.0	1.0	0.0	19
319	0.0	@fox	0.0	1.0	0.0	20
320	0.296	@fox	0.0	0.901	0.099	21
321	0.3182	@fox	0.0	0.909	0.091	22
322	0.802	@fox	0.0	0.455	0.545	23
323	0.0	@fox	0.0	1.0	0.0	24
324	-0.296	@fox	0.524	0.476	0.0	25
325	0.636	@fox	0.0	0.193	0.807	26
326	-0.6478	@fox	0.237	0.763	0.0	27
327	-0.5707	@fox	0.61	0.39	0.0	28
328	0.5267	@fox	0.066	0.708	0.226	29
329	-0.2862	@fox	0.153	0.745	0.102	30
330	0.6486	@fox	0.0	0.762	0.238	31
331	0.0	@fox	0.0	1.0	0.0	32
332	0.8122	@fox	0.0	0.682	0.318	33
333	0.0	@fox	0.0	1.0	0.0	34
334	0.4754	@fox	0.116	0.655	0.229	35
335	0.0772	@fox	0.195	0.642	0.163	36
336	0.6369	@fox	0.0	0.826	0.174	37
337	0.0	@fox	0.0	1.0	0.0	38
338	0.0	@fox	0.0	1.0	0.0	39
339	0.0	@fox	0.0	1.0	0.0	40
340	0.296	@fox	0.0	0.901	0.099	41
341	0.3182	@fox	0.0	0.909	0.091	42
342	0.802	@fox	0.0	0.455	0.545	43
343	0.0	@fox	0.0	1.0	0.0	44
344	-0.296	@fox	0.524	0.476	0.0	45
345	0.636	@fox	0.0	0.193	0.807	46
346	-0.6478	@fox	0.237	0.763	0.0	47
347	-0.5707	@fox	0.61	0.39	0.0	48
348	0.5267	@fox	0.066	0.708	0.226	49
349	-0.2862	@fox	0.153	0.745	0.102	50
350	0.6486	@fox	0.0	0.762	0.238	51
351	0.0	@fox	0.0	1.0	0.0	52
352	0.8122	@fox	0.0	0.682	0.318	53
353	0.0	@fox	0.0	1.0	0.0	54
354	0.4754	@fox	0.116	0.655	0.229	55
355	0.0772	@fox	0.195	0.642	0.163	56
